placename,sentence,model
Lúna Beag,Bíonn margaí traidisiúnta ag tarlú i Lúna Beag gach Satharn.,claude-3-haiku-20240307
Lúna Mór,Tá ceol traidisiúnta Gaelach le cloisteáil i Lúna Mór gach oíche Aoine.,claude-3-haiku-20240307
Lochán na Geancaí,Bíonn gach duine ag snamh i Lochán na Geancaí i rith an tsamhraidh.,claude-3-haiku-20240307
Na Locháin Bhuí,Bíonn daoine ag taisteal go dtí Na Locháin Bhuí chun an nádúr a fheiceáil.,claude-3-haiku-20240307
Lúb na mBac,Bíonn daoine ag siúl timpeall Lúb na mBac ag deireadh seachtaine.,claude-3-haiku-20240307
Lochán na mBan,Tá cáilíocht an uisce go hiontach i Lochán na mBan.,claude-3-haiku-20240307
Loch na Muice,Beidh an margadh bliantúil ar siúl ar bhruacha Loch na Muice an mhí seo.,claude-3-haiku-20240307
Curraigh an Phréacháin,Bíonn an baile beo le ceol agus craic i gCurraigh an Phréacháin ag am na Nollag.,claude-3-haiku-20240307
An Lochán Buí,Bíonn an-trácht ar bhealaí isteach agus amach as An Lochán Buí i rith an tsamhraidh.,claude-3-haiku-20240307
An tOileán Íseal,Tá roinnt grúpaí spóirt ag cleachtadh ag An tOileán Íseal gach samhradh.,claude-3-haiku-20240307
Cluain Cearbán,Bíonn crainn áille le feiceáil i gCluain Cearbán i rith an earraigh.,claude-3-haiku-20240307
Log an Lisín Thuaidh,Eagraíonn an pobal imeachtaí spóirt agus cultúrtha i Log an Lisín Thuaidh go rialta.,claude-3-haiku-20240307
Lúghortán,Tabharfar turas ar Lúghortán don phobal áitiúil gach Satharn.,claude-3-haiku-20240307
Loch Roisín,Beidh ceolchoirm iontach ar siúl ar Loch Roisín an mhí seo chugainn.,claude-3-haiku-20240307
Log an Phoill,Ní bhíonn an-chuid daoine ag freastal ar ócáidí i Log an Phoill.,claude-3-haiku-20240307
Log an tSalainn,Thóg siad ionad siopadóireachta nua i Log an tSalainn le déanaí.,claude-3-haiku-20240307
Log an Lisín Theas,Tá pleananna ag an údarás áitiúil le haghaidh infheistíocht shuntasach i Log an Lisín Theas.,claude-3-haiku-20240307
An Log Buí,Taitníonn turais trí Ghleann an Log Buí le cách.,claude-3-haiku-20240307
Log na Faiche,Maireann go leor saoránaigh áitiúla i Log na Faiche.,claude-3-haiku-20240307
Log na bhFeadóg,Bíonn ceoil thraidisiúnta á seinm ag ceoltóirí áitiúla i Log na bhFeadóg go minic.,claude-3-haiku-20240307
Log an Teampaill,Chuaigh an t-imreoir nua as Log an Teampaill chun páirt a ghlacadh sa chluiche peile.,claude-3-haiku-20240307
An Log Breac,Tógfaidh an baile halla nua i gCaisleán Aircín an bhliain seo chugainn.,claude-3-haiku-20240307
An Log Riabhach,Tógfar ionad spóirt nua i dAn Log Riabhach an bhliain seo chugainn.,claude-3-haiku-20240307
Log an Aisléara,Beidh mé ag dul ag seilg i Log an Aisléara amárach.,claude-3-haiku-20240307
An Lorgain Íochtarach,Déanfaidh siad athchóiriú ar An Lorgain Íochtarach an bhliain seo chugainn.,claude-3-haiku-20240307
Log na mBanbh,Bíonn spraoi agus craic ag an teaghlach i Log na mBanbh gach Nollaig.,claude-3-haiku-20240307
An Lorgain,Chuaigh mé go dtí An Lorgain le déanaí chun siopa nua a oscailt.,claude-3-haiku-20240307
An Lorgain Uachtarach,Dúnfar cuid de na bóithre i dAn Lorgain Uachtarach don Lá Fhéile Pádraig.,claude-3-haiku-20240307
Lorgain Darach,Beidh comortas peile ar siúl i Lorgain Darach an samhradh seo.,claude-3-haiku-20240307
An Más Thuaidh,Féachann daoine ó gach cearn den tír ar An Más Thuaidh mar áit álainn turasóireachta.,claude-3-haiku-20240307
An Más Theas,Beidh taispeántais ealaíne ar siúl in An Más Theas an samhradh seo.,claude-3-haiku-20240307
An Machaire Buí,Bíonn imeachtaí spóirt éagsúla ar siúl in An Machaire Buí gach samhradh.,claude-3-haiku-20240307
An Más Uachtarach,Bíonn turas cois trá ar fáil do chuairteoirí ar An Más Uachtarach i rith an tsamhraidh.,claude-3-haiku-20240307
An Más Láir,Beidh céilí traidisiúnta ar siúl in An Más Láir amárach.,claude-3-haiku-20240307
Acraí Uí Loingsigh,Cuireann daoine isteach ar phoist in Acraí Uí Loingsigh gach bliain.,claude-3-haiku-20240307
An Machaire Breac,Beidh imeachtaí cultúrtha ar siúl ar An Machaire Breac an samhradh seo.,claude-3-haiku-20240307
Machaire na Gé,Beidh Machaire na Gé álainn nuair a bheidh an bhláthanna in airde.,claude-3-haiku-20240307
An Machaire Fada,Beidh an chéad fhéile ealaíne in An Machaire Fada an samhradh seo chugainn.,claude-3-haiku-20240307
An Meall Mór,Déanann daoine a gcuid siúlóidí laethúla timpeall Chatha.,claude-3-haiku-20240307
An Machaire Mór,"Lonnaithe thart ar An Machaire Mór, is áit í a thaitníonn go mór le cuairteoirí.",claude-3-haiku-20240307
Meathánach,Bainfidh an pobal i Meathánach taitneamh as an bhféile bhliantúil.,claude-3-haiku-20240307
Manainn,Chuaigh mé go Manainn ar saoire an samhradh seo caite.,claude-3-haiku-20240307
An Mhala Raithní,Tá cónaí ar go leor teaghlaigh dhúchasacha in An Mhala Raithní.,claude-3-haiku-20240307
Maigh Nulla,Déanann muintir Mhaigh Nulla ceiliúradh ar a gcultúr traidisiúnta gach bliain.,claude-3-haiku-20240307
An Mhala Rua,Tá líon na gcuairteoirí ag dul i méad i mBaile an Mhala Rua gach bliain.,claude-3-haiku-20240307
Poll na Bracha,Cuireann na turasóirí go leor airgid isteach i ngeilleagar Poll na Bracha.,claude-3-haiku-20240307
Sruthán an Aifrinn Íochtarach,Tá an t-iarracht chun an comhshaol a chosaint i Sruthán an Aifrinn Íochtarach an-tábhachtach.,claude-3-haiku-20240307
An Mám,Tá an-chuid turasóirí ag teacht go dtí An Mám i rith na bliana.,claude-3-haiku-20240307
Sruthán an Aifrinn,Bíonn daoine ag siúl timpeall Shruthán an Aifrinn go minic le linn an tsamhraidh.,claude-3-haiku-20240307
Máiteog,Tá turasóirí ag taitneamh a bhaint as an dea-aimsir i Máiteog le déanaí.,claude-3-haiku-20240307
Míleac Beag,Oireann an timpeallacht i Míleac Beag go maith do chónaí.,claude-3-haiku-20240307
An Máimín,Bíonn damhsa traidisiúnta á reáchtáil in An Máimín ag Oireachtas na Gaeilge.,claude-3-haiku-20240307
Mám an Rata,Tá an chuid is mó de na cónaitheoirí in Mám an Rata ina gcónaí ann go céadfach.,claude-3-haiku-20240307
Lios Mhic Fheorais,Tógfar teach súgartha nua do pháistí i Lios Mhic Fheorais an samhradh seo.,claude-3-haiku-20240307
Páirceanna Mhaigh Eo,Tá gníomhaíochtaí áineasa ar fáil i bPáirceanna Mhaigh Eo i rith an tsamhraidh.,claude-3-haiku-20240307
Oileán na Teorann,Tógfar ionad turasóireachta nua in Oileán na Teorann an bhliain seo chugainn.,claude-3-haiku-20240307
Míleac,Imeoidh muid ó Mhíleac ar lá álainn samhraidh.,claude-3-haiku-20240307
Mín na Cloiche Finne,Bíonn daoine ag siúl thart ar Mhín na Cloiche Finne leis na madraí ag an deireadh seachtaine.,claude-3-haiku-20240307
Míoltrán,Ceiliúrtar oidhreacht na háite i Míoltrán gach bliain.,claude-3-haiku-20240307
Míleac Mór,Bíonn an baile beag i Míleac Mór an-shíochánta agus an-chuíosach.,claude-3-haiku-20240307
Ros na mBráthar,Cuireann na húinéirí teach ósta faoi deara i Ros na mBráthar gach bliain.,claude-3-haiku-20240307
Mír Mhichíl,Tá cónaí ar mhuintir Mhír Mhichíl ó thús aimsire.,claude-3-haiku-20240307
Méinín,Déanfar athchóiriú ar shráid phríomhúil Mhéinín an bhliain seo chugainn.,claude-3-haiku-20240307
Lios na Ród,Cuireann muintir Lios na Ród fáilte an-chroíúil roimh chuairteoirí.,claude-3-haiku-20240307
Cnoc an Mhuilleora,Tá daoine ag déanamh oibre deonach ar fud Chnoc an Mhuilleora chun caomhnú na háite.,claude-3-haiku-20240307
Maigh Chalgaigh,Bíonn margadh beo i Maigh Chalgaigh gach Satharn.,claude-3-haiku-20240307
Móna Mhór,Tá sé beartaithe go mbeidh féile chultúrtha iontach ar siúl i Móna Mhór an samhradh seo.,claude-3-haiku-20240307
An Móta,Tá sé i gceist oifig nua rialtais a oscailt in An Móta an bhliain seo chugainn.,claude-3-haiku-20240307
Muine Ó gCearráin,Bíonn ceol agus craic i Muine Ó gCearráin le linn na féile.,claude-3-haiku-20240307
An Baile Láir,Tá cónaí ar mhuintir na háite in An Baile Láir le fada.,claude-3-haiku-20240307
An Móinín,Tógtar tithe nua i mBaile an Mhóinín gach bliain.,claude-3-haiku-20240307
An Mhóin Ard,Tógtar oibreacha feabhsúcháin ar An Mhóin Ard gach bliain.,claude-3-haiku-20240307
An Móinín Bradach,Tá réamhchúraim déanta ag muintir An Móinín Bradach chun an timpeallacht a chosaint.,claude-3-haiku-20240307
Maigh Chartha,Tá daoine ag baint torthaí as na crainn i Maigh Chartha le linn an fhómhair.,claude-3-haiku-20240307
An Muine Beag,Tá an fhoireann peile ag traenáil go dian in An Muine Beag faoi láthair.,claude-3-haiku-20240307
An Muine,Chuaigh muid go dtí An Muine chun taitneamh a bhaint as an dea-aimsir.,claude-3-haiku-20240307
Moing an Iarainn,Tá sé beartaithe síneadh a chur le Moing an Iarainn chun freastal ar an éileamh méadaithe.,claude-3-haiku-20240307
An Bac Fada,Fuair cuid de na scoláirí duaiseanna ag Comórtas Ealaíne na mBan in An Bac Fada.,claude-3-haiku-20240307
Páirc an Leachta,Bíonn roinnt imeachtaí spóirt ar siúl i bPáirc an Leachta gach samhradh.,claude-3-haiku-20240307
An Muine Mór,Déanann na turasóirí siúlóidí iontacha timpeall Mhuine Mhóir gach samhradh.,claude-3-haiku-20240307
An Múr Gágach,Bíonn turais chríche iontacha ar fáil i dtreo An Múr Gágach.,claude-3-haiku-20240307
Coimín an tSléibhe,Bíonn daltaí ó gach scoil sa cheantar ag dul ar thurais chhuig Coimín an tSléibhe.,claude-3-haiku-20240307
An Sliabh,Bíonn daoine ag dreapadh sléibhe ar An Sliabh gach samhradh.,claude-3-haiku-20240307
Oileán Mhuiris,Beidh taispeántas ealaíne den scoth ar siúl in Oileán Mhuiris an samhradh seo.,claude-3-haiku-20240307
Lios na Sreangaíle,Tá cónaí ar phobal ilchineálach i Lios na Sreangaíle.,claude-3-haiku-20240307
Cnocán an Bhrúnaigh,Tá na turasóirí ag dul go Cnocán an Bhrúnaigh le bualadh leis na siopadóirí áitiúla.,claude-3-haiku-20240307
Lios Ualtair de Búrca,Chuaigh muid go dtí Lios Ualtair de Búrca le haghaidh an aonach bliantúil.,claude-3-haiku-20240307
Maigh Aistín,Déanfar athchóiriú mór ar Mhaigh Aistín sna blianta amach romhainn.,claude-3-haiku-20240307
Moin Anraí,Tá siad ag péintéireacht álainn ar fad ar Mhóin Anraí.,claude-3-haiku-20240307
Maighnigh,Bíonn ceoláithe agus amhránaithe ag seinm i Maighnigh ar laethanta saoire.,claude-3-haiku-20240307
Maigh Obhair,Cuirtear ceoltóirí traidisiúnta ar stáitse i Maigh Obhair gach Samhain.,claude-3-haiku-20240307
Maínis Beag,Rachaidh muid go Maínis Beag le haghaidh laethanta saoire.,claude-3-haiku-20240307
Maínis Mór,Bíonn cuairteoirí ag taitneamh a bhaint as an dea-chuma ar Mhaínis Mór i rith an tsamhraidh.,claude-3-haiku-20240307
Maighin,Casann na turasóirí chuig Maighin chun an tírdhreach álainn a fheiceáil.,claude-3-haiku-20240307
Maigh Eine,Tá sé beartaithe tionscadal forbartha a thosú i Maigh Eine an bhliain seo chugainn.,claude-3-haiku-20240307
Muicinis,Bíonn an fhoireann peile ag cleachtadh go crua ar Mhuicinis gach lá.,claude-3-haiku-20240307
Muiceanach,Tugann na turasóirí cuairt ar Mhuiceanach chun an chultúr dúchasach a fheiceáil.,claude-3-haiku-20240307
An Mhaighean,Bíonn margaí agus ceol traidisiúnta go rialta in An Mhaighean.,claude-3-haiku-20240307
An Muclach,Tá cáil ar Bhéile Uí Mhaonaigh i gCeann an Oileáin as a bhia den scoth.,claude-3-haiku-20240307
Maighnigh,Bíonn na cónaitheoirí ag siúl thart ar Mhaighnigh gach lá.,claude-3-haiku-20240307
Moing Oilí,Cuirfear feachtas athchúrsála ar bun i Moing Oilí an bhliain seo chugainn.,claude-3-haiku-20240307
An Bheartrach,Tá sé pleanáilte tionscadal tithíochta nua a thógáil in An Bheartrach.,claude-3-haiku-20240307
Mucrosán,Caitheann muintir Mhucrosán a gcuid saoire sa cheantar álainn sin gach samhradh.,claude-3-haiku-20240307
Moing an Ghaill,Caitheann muintir Moing an Ghaill an-chuid ama ag siúl sna páirceanna thart timpeall.,claude-3-haiku-20240307
Moing an Tóchair,Tógfaidh an t-údarás áitiúil páirceanna nua i Moing an Tóchair.,claude-3-haiku-20240307
Moing na nDearnad,Tá feirmeoireacht mhór le feiceáil i Moing na nDearnad.,claude-3-haiku-20240307
Mullach Faraidh,Beidh taispeántas ealaíne ar siúl i Mullach Faraidh an mhí seo.,claude-3-haiku-20240307
Moing na hAlúna,Caitheann cuid mhór daoine am ar Mhoing na hAlúna gach samhradh.,claude-3-haiku-20240307
An Mullán,Tá gné thraidisiúnta na gcéadfaí le brath i measc mhuintir An Mullán.,claude-3-haiku-20240307
An Mhoing Riabhach,Tá na feirmeacha beaga i dteannta a chéile ar An Mhoing Riabhach.,claude-3-haiku-20240307
An Mullach,Tá iascairí áitiúla ag iascach sa Mhullach gach lá.,claude-3-haiku-20240307
Mullach Thamhnaí,Gabhann sluaite daoine ar thuras cois cósta go Mullach Thamhnaí le linn na samhna.,claude-3-haiku-20240307
Muileann Mádóg,Tugann cuid mhór daoine cuairt ar Mhuileann Mádóg le linn an tsamhraidh.,claude-3-haiku-20240307
Na Mulláin,Tá an Coiste Pobail ag pleanáil ócáid spóirt i Na Mulláin an samhradh seo.,claude-3-haiku-20240307
An Muileann Mór Theas,Beidh taispeántais ealaíne iontacha ar siúl in An Muileann Mór Theas an mhí seo.,claude-3-haiku-20240307
An Muileann Mór Thuaidh,Déanfar athchóiriú mór ar An Muileann Mór Thuaidh an bhliain seo chugainn.,claude-3-haiku-20240307
Muraisc,Beidh sráid nua ceangailte le Muraisc an bhliain seo chugainn.,claude-3-haiku-20240307
Muine Deise,Bíonn roinnt damhsaí traidisiúnta á n-eagrú i Muine Deise gach bliain.,claude-3-haiku-20240307
Diméin Mhuraisce,Tá muid ag cur tionscadail chultúrtha chun cinn i nDiméin Mhuraisce faoi láthair.,claude-3-haiku-20240307
Muraisc na bPoll,Tógfar teach nua i Muraisc na bPoll an bhliain seo chugainn.,claude-3-haiku-20240307
Muirbheach,Bíonn daltaí as Muirbheach ag freastal ar scoil i gCaiseal Beag.,claude-3-haiku-20240307
An Mhaoilinn,Tógtar eastáit nua tithíochta in An Mhaoilinn gach bliain.,claude-3-haiku-20240307
An Mongán,Cónaíonn siad san Mongán le fada an lá.,claude-3-haiku-20240307
Maoilios,Tá crainn áille le feiceáil i Maoilios i rith an earraigh.,claude-3-haiku-20240307
An Éill,Cónóidh na daoine nua a tháinig go hAn Éill sa cheantar le tamall.,claude-3-haiku-20240307
Gort an Cheoil,Caitheann na ceoltóirí go leor ama ag cleachtadh i nGort an Cheoil.,claude-3-haiku-20240307
Muirnín Thuaidh,Bíonn gníomhaíochtaí áitiúla ar siúl go rialta i Muirnín Thuaidh.,claude-3-haiku-20240307
Eastát Mhílis,Cuireann na rannpháirtithe taitneamhachtaí ar fáil do chónaitheoirí Eastát Mhílis.,claude-3-haiku-20240307
Sliabh na gCearc,Bíonn sí ag spaisteoireacht ar Shliabh na gCearc i rith an tsamhraidh.,claude-3-haiku-20240307
An Baile Úr,Tógadh teach nua i lár An Baile Úir le déanaí.,claude-3-haiku-20240307
An Pháirc Nua,Beidh taispeántais ealaíne á n-eagrú in An Pháirc Nua an mhí seo chugainn.,claude-3-haiku-20240307
An Pháirc Nua,Rachaidh mé go dtí An Pháirc Nua chun spraoi ar an gclós imeartha.,claude-3-haiku-20240307
An Caisleán Nua,Tá pleananna ann chun Caisleán Nua a athnuachan sa chéad bhliain eile.,claude-3-haiku-20240307
An Baile Nua Thuaidh,Beidh an chéad fhorbairt tithíochta nua i mBaile an Dúna críochnaithe an bhliain seo chugainn.,claude-3-haiku-20240307
An Baile Nua,Tógfar teach nua pobail in An Baile Nua an bhliain seo chugainn.,claude-3-haiku-20240307
Baile Nua an Fhaoitigh,Tá forbairt nua tithíochta á tógáil i mBaile Nua an Fhaoitigh faoi láthair.,claude-3-haiku-20240307
Oileán Darach,Caithfear dul go hOileán Darach chun an chéad fhéile samhraidh eile a fheiceáil.,claude-3-haiku-20240307
Eochaillí,Déanfaidh siad taighde ar an stair i Eochaillí an bhliain seo chugainn.,claude-3-haiku-20240307
Baile Uí Fhiacháin,Tá cónaí ar phobal bríomhar i mBaile Uí Fhiacháin.,claude-3-haiku-20240307
An Baile Nua Theas,Beidh féile chultúrtha ar siúl in An Baile Nua Theas an samhradh seo.,claude-3-haiku-20240307
Gort na Caillí,Rachaidh mé go Gort na Caillí an bhliain seo chugainn.,claude-3-haiku-20240307
Béal Átha Each,Tá daoine ag déanamh taighde ar stair Bhéal Átha Each.,claude-3-haiku-20240307
An Seancheann,Chuaigh mé go minic go dtí An Seancheann leis an teaghlach le blianta anuas.,claude-3-haiku-20240307
Na hIúraí,Tá muid chun turais a eagrú go dtí Na hIúraí an samhradh seo.,claude-3-haiku-20240307
Ochtú,Beidh roinnt ceardlanna Gaeilge á n-eagrú in Ochtú an samhradh seo.,claude-3-haiku-20240307
An Abhainn Bhuí,Imríonn na clubanna peile cluichí ina gcéad chluiche i rith na bliana ar An Abhainn Bhuí.,claude-3-haiku-20240307
Na hUltánaigh,Eagraíonn muintir na hUltánach ceolchoirmeacha traidisiúnta go rialta.,claude-3-haiku-20240307
Oileán an Mhadra Uisce,Beidh rásaí capaill ar siúl in Oileán an Mhadra Uisce an Samhradh seo.,claude-3-haiku-20240307
An Abhainn Bhuí,Bíonn an fhéile bhliantúil ag An Abhainn Bhuí an-rathúil.,claude-3-haiku-20240307
An Abhainn Dubh,Beidh ceol traidisiúnta á sheinm ag ceoltóirí áitiúla in An Abhainn Dubh an deireadh seachtaine seo.,claude-3-haiku-20240307
An Abhainn Ghlas,Bíonn scéalta álainn le cloisteáil ar oileáin An Abhainn Ghlas.,claude-3-haiku-20240307
An Ballán,Cónaíonn muid i gcroílár An Bhallán le blianta beaga anuas.,claude-3-haiku-20240307
An Pháirc Bhuí,Caitheann daoine lá iontach ag dul ar thuras timpeall An Pháirc Bhuí.,claude-3-haiku-20240307
Páirc an tSléibhe,Cuireann daoine Páirc an tSléibhe i ngrá ar fad le linn an tsamhraidh.,claude-3-haiku-20240307
Páirc na Coilleadh,Taitníonn Páirc na Coilleadh le turasóirí mar gheall ar a háilleacht nádúrtha.,claude-3-haiku-20240307
An Pháirc,Bíonn an-ghnóthach i bPáirc na Cathrach ar laethanta saoire.,claude-3-haiku-20240307
Cúil Ghad,Cuireann teaghlaigh i gCúil Ghad béim ar choinneáil seanchais agus traidisiún beo.,claude-3-haiku-20240307
Cnoc an Phiasúin,Beidh ceolchoirm mhór ar siúl ar Chnoc an Phiasúin an samhradh seo.,claude-3-haiku-20240307
Oileán na Muice,Gabhann turasóirí chuig Oileán na Muice le brath ar an bhfíor-nádúr.,claude-3-haiku-20240307
Na hUchtaí,Tá sí ag caitheamh ama sa ghairdín i Na hUchtaí gach Satharn.,claude-3-haiku-20240307
Ceathrú an Phiocóidigh,Cuireann grúpaí pobail imeachtaí cultúrtha ar siúl i gCeathrú an Phiocóidigh gach Samhradh.,claude-3-haiku-20240307
Píonóg,Tá an ceol thraidisiúnta Gaelach ar siúl i bPíonóg gach oíche Sathairn.,claude-3-haiku-20240307
Poll an Dúigh,Bíonn an oireachtas bliantúil á reáchtáil i bPoll an Dúigh gach Samhain.,claude-3-haiku-20240307
Poll an Léana,Tá Teach Cuimhneacháin á thógáil i bPoll an Léana faoi láthair.,claude-3-haiku-20240307
Poll an Chapaill,Scríobhfaidh mé alt faoi stair agus oidhreacht Phoill an Chapaill.,claude-3-haiku-20240307
Poll na nUchtaí,Imrítear cluichí traidisiúnta i bPoll na nUchtaí ag an bhféile bhliantúil.,claude-3-haiku-20240307
An Pollach,Buaileann an bus Pollaigh gach uair an chloig.,claude-3-haiku-20240307
Poll na nEascann,Leanann an fhoireann iascaireachta ó Poll na nEascann le hobair tábhachtach an iascaigh.,claude-3-haiku-20240307
Poll an Uisce,Bíonn daoine ag snámh i bPoll an Uisce ar laethanta te samhraidh.,claude-3-haiku-20240307
Poll an Mharla,Eagraíonn muintir Pholl an Mharla ceolchoirmeacha traidisiúnta gach mí.,claude-3-haiku-20240307
Poll na Buinní,Ceiliúraíonn pobal Phoill na Buinní an oidhreacht chultúrtha áitiúil go bliantúil.,claude-3-haiku-20240307
An Poll Bán,Beidh damhsa traidisiúnta ar siúl in An Poll Bán an oíche seo.,claude-3-haiku-20240307
Poll na Cruaiche,Eagraíonn na háitritheoirí ceolchoirmeacha áille i dPoll na Cruaiche.,claude-3-haiku-20240307
Poll an Mhadaidh,Bíonn an-éileamh ar throscán ó Pholl an Mhadaidh.,claude-3-haiku-20240307
Poll an Mhadaidh,Cuireann muintir Pholl an Mhadaidh tús leis an bhféile bhliantúil inniu.,claude-3-haiku-20240307
Poll Draighin,Oireann Poll Draighin go hiontach don iascaireacht.,claude-3-haiku-20240307
Poll an Mhaola,Thóg an pobal in Poll an Mhaola ceann de na hócáidí is mó sa cheantar le gairid.,claude-3-haiku-20240307
Poll Ruanacháin Mór,Bíonn daltaí na scoile ag déanamh gníomhaíochtaí allamuigh i bPoll Ruanacháin Mór gach samhradh.,claude-3-haiku-20240307
Poll na nGamhna,Oireann Poll na nGamhna go hiontach do chaitheamh aimsire na teaghlaigh.,claude-3-haiku-20240307
Poll na Saileach,Caitheann muid go leor ama ag siúl thart ar Poll na Saileach ar laethanta saoire.,claude-3-haiku-20240307
An Portach,Rachfaidh mé go dtí An Portach amárach chun an timpeallacht nádúrtha a fhiosrú.,claude-3-haiku-20240307
Poll Searbhóg,Bíonn ceol traidisiúnta Gaelach á sheinm go minic i bPoll Searbhóg.,claude-3-haiku-20240307
Poll Radaí,Ceaptar go bhfuil ór i bPoll Radaí.,claude-3-haiku-20240307
Poll Ruanacháin Beag,Cónaíonn mórán daoine áitiúla i bPoll Ruanacháin Beag.,claude-3-haiku-20240307
Oileán an tSagairt,Cuireann na daoine in Oileán an tSagairt béim ar chothú na Gaeilge sa cheantar.,claude-3-haiku-20240307
An Preabán,Déantar iarracht shuntasach chun an timpeallacht in An Preabán a chosaint.,claude-3-haiku-20240307
An Príosún Thoir,Tugtar cuairteoirí go dtí An Príosún Thoir le linn na bliana.,claude-3-haiku-20240307
Partraí,Tugtar cuairteoirí go Partraí chun dul ar thurais iascaireachta ar an loch.,claude-3-haiku-20240307
Prospect,Beidh ceolchoirm thábhachtach ar siúl i dProspect an mhí seo.,claude-3-haiku-20240307
An Príosún Theas,Raghaidh siad go dtí An Príosún Theas chun cuairt a thabhairt ar a gcarad.,claude-3-haiku-20240307
An Phrochlais,Tabharfar cuairt ar an bProchlais le linn an turas scoile.,claude-3-haiku-20240307
Na Porráin,Beidh díolachán ealaíne á reáchtáil i Na Porráin an samhradh seo.,claude-3-haiku-20240307
An Punta Beag,Ceileann pobal An Punta Beag a gcuid traidisiún go cúramach.,claude-3-haiku-20240307
An Príosún Thuaidh,Chuaigh na príosúnaigh amach ón bPríosún Thuaidh ar an teicheadh.,claude-3-haiku-20240307
Cúige na Leice,Oireann an t-aer glan agus ciúin i gCúige na Leice go hiontach do lucht turasóireachta.,claude-3-haiku-20240307
Cúige an Liagáin,Caitheann na mic léinn a gcuid ama saor i gCúige an Liagáin ag staidéar.,claude-3-haiku-20240307
An Ráth Bán,Caithfidh mé cuairt a thabhairt ar An Ráth Bán amárach.,claude-3-haiku-20240307
Oileáin na gCoiníní,Bíonn daoine ag siúl agus ag rothaíocht ar Oileáin na gCoiníní i rith an tsamhraidh.,claude-3-haiku-20240307
Na Rathanna,Tá sé beartaithe feabhas a chur ar na rothair i Na Rathanna.,claude-3-haiku-20240307
Oileán na gCoinín,Caitheann daoine a gcuid laethanta saoire ag siopadóireacht i siopa i lár Oileán na gCoinín.,claude-3-haiku-20240307
An Ráth Ard,Reachtálfar rásaí capaill traidisiúnta in An Ráth Ard roimh an Nollaig.,claude-3-haiku-20240307
Rathain Dubh,Rachfaidh mé go Rathain Dubh le mo chairde le haghaidh an fhéile.,claude-3-haiku-20240307
Ráth Fhireolais,Déanann na scoláirí staidéar ar stair Ráth Fhireolais i rith na scoilbhliana.,claude-3-haiku-20240307
Rathain Bhairr,Taitnítear go mór le daoine imeachtaí cultúrtha a bheith ar siúl i Rathain Bhairr.,claude-3-haiku-20240307
An Ráithín,Bíonn dathanna bríomhara ar fáil in An Ráithín le linn an tsamhraidh.,claude-3-haiku-20240307
An Ráithín Rua,Bíonn an-chuid daoine ag dul go dtí An Ráithín Rua ag an Nollaig.,claude-3-haiku-20240307
Na Ráithíní,Taitníonn saol na tuaithe in Na Ráithíní go mór le cónaitheoirí an cheantair.,claude-3-haiku-20240307
An Ráith,Rachaidh mé go minic go dtí An Ráith chun súgradh leis na páistí.,claude-3-haiku-20240307
Cúige na Sí,Buaileann cuid mhaith turasóirí Cúige na Sí le linn an tsamhraidh.,claude-3-haiku-20240307
Ráth Moling,Caillfear roinnt foirgneamh stairiúla i Ráth Moling de dheasca an athraithe aeráide.,claude-3-haiku-20240307
An Réise,Tá oifigí roinne rialtais nua á n-oscailt in An Réise.,claude-3-haiku-20240307
Na Rannacha,Bíonn imeachtaí cultúrtha ar siúl sna Rannacha gach samhradh.,claude-3-haiku-20240307
Ros an Chaorthainn,Tá na dreamanna ceoil is fearr in Éirinn ag teacht go Ros an Chaorthainn gach Samhradh.,claude-3-haiku-20240307
Caisleán na Ropaí,Tá mórchóir stairiúil á bhfiosrú ag seandálaithe i gCaisleán na Ropaí faoi láthair.,claude-3-haiku-20240307
Rosarán,Tá roinnt sléibhte áille i Rosarán le fiosrú.,claude-3-haiku-20240307
Ráth na nGiosán,Buaileann na turasóirí cuairt ar Ráth na nGiosán gach bliain.,claude-3-haiku-20240307
Ráth na Raithní,Tá daoine ag tógáil árasán nua in Ráth na Raithní faoi láthair.,claude-3-haiku-20240307
Ráth Bhalla,Bíonn taispeántais ealaíne suimiúla ar siúl i Ráth Bhalla gach mí.,claude-3-haiku-20240307
An Ráth Bán,Tá sé de nós ag na daoine i An Ráth Bán imeachtaí cultúrtha a reáchtáil gach samhradh.,claude-3-haiku-20240307
An Ráth Bhán,Déanann mic léinn cúrsaí Gaeilge in An Ráth Bhán.,claude-3-haiku-20240307
An Ráith,Beidh féile ealaíon ar siúl in An Ráith an samhradh seo.,claude-3-haiku-20240307
Na Ranna,Bíonn na scoláirí ag foghlaim na Gaeilge sna Ranna gach lá.,claude-3-haiku-20240307
Ráth Dónaill,Beidh ceolchoirm mhór ar siúl i Ráth Dónaill an samhradh seo.,claude-3-haiku-20240307
Ráth Chais,Tógtar eastáit nua tithíochta i Ráth Chais le cúpla bliain anuas.,claude-3-haiku-20240307
Ráth Sheiscinn,Tógtar eastáit nua in Ráth Sheiscinn de ghnáth.,claude-3-haiku-20240307
Ráth Bhrannaibh,Déanfar athnuachan ar an gcóras sráide i Ráth Bhrannaibh an samhradh seo.,claude-3-haiku-20240307
An Ráth Ghlas,Bíonn margaí traidisiúnta le ceol beo in An Ráth Ghlas gach Satharn.,claude-3-haiku-20240307
